iter	RMSE
0	126752.2654
1	124386.1682
2	122510.9776
3	120173.2122
4	118475.4945
5	116651.835
6	114669.073
7	112922.3414
8	111771.2944
9	110707.0282
10	109470.3147
11	108174.8468
12	106203.603
13	104916.2743
14	103797.5488
15	102313.2892
16	100543.273
17	99132.75523
18	98125.99606
19	97252.3385
20	96320.79589
21	94508.17758
22	93595.39977
23	92678.68064
24	91840.32149
25	91058.45452
26	89353.98896
27	88239.82886
28	86993.60649
29	86171.73867
30	85348.17032
31	84629.31944
32	83211.94084
33	82262.67694
34	81445.24636
35	80684.65824
36	79959.21907
37	79099.5037
38	78368.76797
39	77060.76634
40	76113.50224
41	75423.49864
42	74378.87315
43	73319.26749
44	72011.81372
45	71195.12576
46	69971.17529
47	69278.08501
48	68139.14641
49	67318.60338
50	66750.62954
51	66260.96846
52	65579.39315
53	65051.01543
54	64498.91828
55	63862.99392
56	63291.13798
57	62458.04542
58	61482.81678
59	60925.12964
60	60217.6046
61	59666.16164
62	59057.8805
63	58365.88219
64	57752.34241
65	56731.02288
66	56065.95468
67	55639.4549
68	55145.52408
69	54787.55641
70	54202.14992
71	53648.52743
72	53058.01443
73	52625.02519
74	52260.38236
75	51866.34314
76	51232.55599
77	50726.35584
78	50261.92039
79	49773.72826
80	49203.85687
81	48923.78428
82	48473.86921
83	48144.18587
84	47866.27358
85	47328.16919
86	46773.50229
87	46396.07273
88	45892.60328
89	45542.9393
90	45129.00092
91	44697.91582
92	44392.41373
93	44070.01583
94	43667.82584
95	43229.91758
96	42839.85389
97	42486.15842
98	42244.03807
99	41869.38709
100	41527.19332
101	41212.89815
102	40954.84362
103	40633.24138
104	40403.68521
105	40013.92654
106	39743.62085
107	39254.56934
108	39029.48116
109	38662.02847
110	38412.41584
111	38164.53358
112	37926.22116
113	37520.79575
114	37293.88657
115	37060.14443
116	36671.13761
117	36326.52941
118	36106.47017
119	35837.65418
120	35570.11898
121	35362.52666
122	35019.0368
123	34743.22123
124	34584.67562
125	34349.36549
126	34132.18077
127	33896.73182
128	33640.98962
129	33472.41736
130	33198.23177
131	33029.65221
132	32676.4639
133	32397.47436
134	32162.84581
135	31887.27364
136	31569.05428
137	31377.41942
138	31205.50302
139	30995.18631
140	30777.70994
141	30626.75367
142	30450.35418
143	30193.59178
144	29936.45992
145	29831.50103
146	29421.40207
147	29209.0923
148	28930.49806
149	28801.54728
150	28699.13591
151	28412.29389
152	28323.72018
153	28122.56296
154	27879.91379
155	27755.12365
156	27659.45713
157	27396.62777
158	27210.94283
159	27123.77983
160	26997.86147
161	26910.76874
162	26723.96888
163	26362.83889
164	26099.55004
165	25945.48202
166	25827.68034
167	25751.61552
168	25637.88944
169	25547.14298
170	25442.90302
171	25357.89822
172	25115.32139
173	24875.15537
174	24714.49387
175	24632.09196
176	24462.06306
177	24226.47865
178	24041.95498
179	23882.87269
180	23819.77118
181	23759.33556
182	23677.37118
183	23597.32021
184	23285.99047
185	23189.91081
186	23058.47375
187	22982.87831
188	22910.23703
189	22671.89169
190	22535.93573
191	22450.74409
192	22383.33145
193	22317.87809
194	22199.68091
195	21994.78849
196	21920.00312
197	21841.8315
198	21678.42036
199	21445.56471
200	21374.72848
201	21337.59995
202	21118.99191
203	21081.01638
204	20970.1816
205	20899.12771
206	20799.21971
207	20654.71796
208	20586.60166
209	20520.68328
210	20387.65248
211	20334.32193
212	20282.35418
213	20221.02579
214	20047.66697
215	19988.77738
216	19940.42299
217	19816.90631
218	19769.44022
219	19723.48118
220	19546.226
221	19501.38893
222	19325.89983
223	19204.9242
224	19153.10044
225	19110.68441
226	18937.05114
227	18887.8611
228	18744.6495
229	18697.38277
230	18525.65383
231	18487.49768
232	18345.27856
233	18300.94308
234	18258.06422
235	18222.75687
236	18099.48884
237	17980.7269
238	17861.95635
239	17828.47284
240	17698.60267
241	17665.91309
242	17634.13842
243	17600.14945
244	17489.50269
245	17459.45506
246	17347.80339
247	17322.69111
248	17215.15907
249	17186.66233
250	17079.09356
251	16975.33339
252	16849.25756
253	16822.20154
254	16662.9053
255	16618.42039
256	16511.93862
257	16384.76254
258	16317.63218
259	16256.61043
260	16198.56679
261	16177.38925
262	16094.6729
263	16069.81432
264	16041.37603
265	16017.53002
266	15914.75251
267	15891.42528
268	15768.3089
269	15651.62685
270	15597.6796
271	15543.31336
272	15481.01383
273	15458.90514
274	15419.8839
275	15371.30791
276	15235.30412
277	15160.5219
278	15126.03141
279	15091.39405
280	14995.03045
281	14946.96356
282	14927.01865
283	14904.18177
284	14843.31521
285	14715.59835
286	14670.16739
287	14639.81971
288	14569.80825
289	14548.79124
290	14444.97009
291	14427.05239
292	14364.02255
293	14281.95568
294	14242.89186
295	14204.21191
296	14161.43552
297	14127.53644
298	14036.76304
299	14001.97808
300	13939.37806
301	13913.11807
302	13893.51693
