iter	Passed	Remaining
0	142	142746
1	148	74275
2	156	51872
3	161	40126
4	165	32862
5	168	27923
6	171	24367
7	174	21594
8	176	19428
9	178	17696
10	180	16271
11	183	15100
12	185	14110
13	188	13263
14	190	12519
15	193	11874
16	195	11302
17	197	10791
18	200	10332
19	202	9928
20	204	9551
21	207	9213
22	209	8901
23	211	8612
24	214	8353
25	216	8114
26	219	7893
27	221	7685
28	223	7491
29	226	7315
30	228	7143
31	231	6991
32	233	6838
33	235	6695
34	237	6561
35	240	6431
36	242	6311
37	245	6203
38	247	6098
39	249	5998
40	252	5898
41	254	5811
42	257	5720
43	259	5635
44	261	5558
45	264	5478
46	266	5407
47	269	5336
48	271	5268
49	274	5211
50	276	5150
51	279	5090
52	281	5030
53	283	4971
54	286	4916
55	288	4863
56	291	4815
57	293	4765
58	295	4716
59	298	4670
60	300	4623
61	302	4577
62	304	4535
63	307	4496
64	309	4457
65	312	4419
66	314	4382
67	316	4344
68	319	4311
69	323	4293
70	326	4269
71	328	4237
72	331	4205
73	333	4172
74	336	4145
75	338	4114
76	340	4085
77	343	4056
78	345	4029
79	348	4003
80	350	3976
81	352	3950
82	355	3924
83	357	3899
84	359	3874
85	362	3849
86	364	3826
87	366	3803
88	369	3781
89	371	3758
90	374	3737
91	376	3715
92	378	3693
93	381	3674
94	383	3655
95	385	3634
96	388	3615
97	390	3597
98	393	3577
99	395	3560
100	398	3542
101	400	3525
102	402	3508
103	405	3490
104	407	3474
105	410	3458
106	412	3442
107	415	3427
108	417	3411
109	419	3395
110	421	3379
111	424	3364
112	426	3350
113	429	3335
114	431	3320
115	433	3306
116	436	3292
117	438	3278
118	441	3267
119	443	3253
120	446	3241
121	448	3228
122	450	3215
123	453	3202
124	456	3197
125	460	3192
126	463	3186
127	465	3174
128	468	3161
129	471	3155
130	475	3155
131	478	3147
132	481	3139
133	484	3131
134	488	3130
135	491	3119
136	493	3108
137	495	3096
138	497	3084
139	500	3073
140	503	3070
141	506	3060
142	509	3050
143	511	3039
144	513	3028
145	515	3018
146	519	3013
147	521	3004
148	524	2994
149	526	2984
150	529	2974
151	531	2964
152	534	2957
153	536	2949
154	539	2940
155	541	2930
156	544	2922
157	546	2912
158	548	2903
159	552	2898
160	554	2889
161	556	2880
162	559	2871
163	561	2863
164	563	2853
165	568	2853
166	570	2845
167	572	2836
168	575	2828
169	577	2819
170	579	2810
171	582	2806
172	585	2798
173	587	2789
174	590	2781
175	592	2773
176	594	2765
177	598	2762
178	600	2755
179	603	2751
180	606	2745
181	609	2737
182	611	2729
183	615	2728
184	617	2720
185	620	2713
186	622	2706
187	624	2698
188	627	2691
189	630	2687
190	632	2680
191	635	2673
192	637	2665
193	639	2658
194	642	2651
195	645	2649
196	648	2642
197	650	2635
198	653	2629
199	655	2622
200	657	2615
201	660	2611
202	663	2605
203	665	2598
204	668	2591
205	670	2584
206	672	2577
207	675	2572
208	678	2567
209	680	2561
210	683	2554
211	685	2547
212	687	2541
213	690	2534
214	693	2532
215	697	2530
216	699	2525
217	702	2519
218	704	2513
219	707	2509
220	710	2504
221	713	2498
222	715	2492
223	717	2486
224	719	2479
225	722	2474
226	725	2470
227	727	2464
228	730	2458
229	732	2452
230	734	2446
231	737	2440
232	741	2439
233	744	2435
234	746	2431
235	749	2425
236	751	2420
237	754	2416
238	757	2411
239	759	2406
240	762	2400
241	764	2395
242	767	2389
243	769	2383
244	772	2380
245	774	2375
246	777	2369
247	779	2364
248	781	2358
249	784	2353
250	787	2350
251	790	2345
252	792	2339
253	794	2334
254	797	2329
255	799	2324
256	802	2320
257	805	2315
258	807	2310
259	809	2304
260	812	2299
261	814	2294
262	817	2289
263	820	2286
264	822	2280
265	824	2275
266	827	2270
267	829	2265
268	831	2260
269	835	2259
270	838	2254
271	840	2249
272	842	2244
273	845	2239
274	847	2234
275	850	2231
276	853	2227
277	855	2221
278	857	2216
279	860	2211
280	862	2206
281	865	2202
282	867	2198
283	870	2194
284	872	2189
285	874	2184
286	877	2179
287	879	2174
288	882	2171
289	885	2167
290	887	2162
291	890	2158
292	892	2153
293	894	2148
294	897	2146
295	900	2141
296	902	2137
297	905	2132
298	907	2127
299	909	2122
300	912	2119
301	915	2115
302	917	2110
303	920	2106
304	922	2101
305	924	2097
306	927	2093
307	930	2089
308	932	2085
309	934	2080
310	937	2076
311	939	2072
312	942	2067
313	946	2067
314	949	2063
315	952	2060
316	954	2057
317	957	2054
318	961	2053
319	964	2050
320	967	2047
321	971	2044
322	974	2041
323	977	2040
324	981	2037
325	984	2034
326	987	2031
327	990	2028
328	994	2027
329	996	2024
330	1000	2021
331	1003	2018
332	1006	2015
333	1009	2013
334	1012	2009
335	1014	2005
336	1016	2000
337	1019	1996
338	1021	1992
339	1025	1991
340	1028	1986
341	1030	1982
342	1032	1978
343	1035	1974
344	1038	1970
345	1040	1967
346	1043	1963
347	1045	1959
348	1048	1955
349	1050	1951
350	1052	1946
351	1057	1946
352	1059	1942
353	1062	1938
354	1064	1933
355	1066	1930
356	1069	1926
357	1073	1925
358	1076	1922
359	1079	1918
360	1081	1914
361	1083	1910
362	1087	1908
363	1089	1904
364	1092	1900
365	1094	1895
366	1096	1891
367	1099	1887
368	1102	1884
369	1104	1881
370	1107	1877
371	1109	1873
372	1111	1868
373	1114	1864
374	1116	1861
375	1119	1858
376	1122	1854
377	1124	1850
378	1126	1846
379	1129	1842
380	1131	1838
381	1134	1836
382	1137	1832
383	1139	1828
384	1142	1824
385	1144	1820
386	1146	1816
387	1150	1814
388	1152	1810
389	1154	1806
390	1157	1802
391	1159	1798
392	1161	1794
393	1164	1791
394	1167	1788
395	1169	1784
396	1172	1780
397	1174	1776
398	1176	1772
399	1179	1769
400	1182	1766
401	1185	1762
402	1187	1759
403	1189	1755
404	1192	1751
405	1194	1747
406	1198	1745
407	1200	1741
408	1202	1737
409	1204	1733
410	1207	1730
411	1209	1726
412	1213	1724
413	1216	1722
414	1219	1718
415	1221	1715
416	1224	1711
417	1226	1708
418	1229	1704
419	1231	1700
420	1234	1697
421	1236	1693
422	1238	1689
423	1241	1686
424	1243	1682
425	1246	1679
426	1248	1675
427	1251	1672
428	1253	1668
429	1255	1664
430	1258	1661
431	1261	1658
432	1263	1654
433	1265	1651
434	1268	1647
435	1270	1643
436	1272	1639
437	1275	1636
438	1277	1632
439	1279	1629
440	1282	1625
441	1284	1621
442	1286	1618
443	1289	1614
444	1291	1611
445	1294	1607
446	1296	1604
447	1299	1600
448	1301	1597
449	1303	1593
450	1306	1590
451	1308	1586
452	1311	1583
453	1313	1579
454	1315	1576
455	1318	1572
456	1320	1569
457	1322	1565
458	1325	1561
459	1327	1558
460	1329	1554
461	1332	1551
462	1334	1547
463	1336	1544
464	1339	1540
465	1341	1537
466	1344	1533
467	1346	1530
468	1348	1527
469	1351	1523
470	1353	1520
471	1355	1516
472	1358	1513
473	1360	1509
474	1362	1506
475	1365	1502
476	1367	1499
477	1369	1495
478	1371	1492
479	1374	1488
480	1376	1485
481	1379	1482
482	1381	1478
483	1383	1474
484	1385	1471
485	1388	1468
486	1390	1464
487	1392	1461
488	1395	1457
489	1397	1454
490	1399	1450
491	1401	1447
492	1404	1444
493	1406	1440
494	1408	1437
495	1411	1433
496	1413	1430
497	1415	1427
498	1418	1423
499	1420	1420
500	1422	1417
501	1425	1413
502	1427	1410
503	1429	1407
504	1432	1404
505	1434	1400
506	1436	1397
507	1439	1394
508	1441	1390
509	1444	1387
510	1446	1384
511	1448	1380
512	1451	1377
513	1453	1374
514	1457	1372
515	1460	1369
516	1462	1366
517	1464	1363
518	1467	1359
519	1469	1356
520	1471	1353
521	1474	1350
522	1476	1346
523	1479	1343
524	1481	1340
525	1484	1337
526	1488	1335
527	1490	1332
528	1492	1329
529	1495	1325
530	1497	1322
531	1499	1319
532	1502	1316
533	1504	1313
534	1506	1309
535	1509	1306
536	1511	1303
537	1513	1300
538	1516	1296
539	1518	1293
540	1521	1290
541	1523	1287
542	1525	1284
543	1528	1280
544	1530	1277
545	1532	1274
546	1535	1271
547	1537	1268
548	1540	1265
549	1542	1261
550	1544	1258
551	1547	1255
